a,b,c,d,e,f
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jeffrey1,Off,7
Michael7,na,8,Jonathan5,Def,9
Jessica10,Off,7,John4,Off,4
Joeseph9,Def,7,Chris20,Def,3
Marcus17,Def,4,Jose15,Def,8
Ryan18,na,5,,,
Score,,2,,,0
,,,,,
Game ID: ,278,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jeffrey1,Off,7
Michael7,na,8,Jonathan5,Def,9
Jessica10,Off,7,John4,Off,4
Joeseph9,Def,7,Chris20,Def,3
Marcus17,Def,4,Jose15,Def,8
Ryan18,na,5,,,
Score,,2,,,0
,,,,,
Game ID: ,279,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Jessica10,Off,7
Martin16,Off,6,Max14,Off,5
Sherman12,Def,5,Vivien3,Off,8
Jose15,Def,8,Karen13,Def,7
Marcus17,Def,4,,,
Score,,0,,,1
,,,,,
Game ID: ,280,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Jessica10,Off,7
Martin16,Off,6,Max14,Off,5
Sherman12,Def,5,Vivien3,Off,8
Jose15,Def,8,Karen13,Def,7
Marcus17,Def,4,,,
Score,,0,,,0
,,,,,
Game ID: ,281,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Sherman12,Def,5
Tom11,na,3,Michael7,na,8
Joeseph9,Def,7,Vivien3,Off,8
Danny19,na,9,John4,Off,4
Max14,Off,5,Chris20,Def,3
Jonathan5,Def,9,Khoman 6,Def,6
Ryan18,na,5,Marcus17,Def,4
Jose15,Def,8,Martin16,Off,6
Score,,2,,,0
,,,,,
Game ID: ,282,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Sherman12,Def,5
Tom11,na,3,Michael7,na,8
Joeseph9,Def,7,Vivien3,Off,8
Danny19,na,9,John4,Off,4
Max14,Off,5,Chris20,Def,3
Jonathan5,Def,9,Khoman 6,Def,6
Ryan18,na,5,Marcus17,Def,4
Jose15,Def,8,Martin16,Off,6
Score,,2,,,0
,,,,,
Game ID: ,283,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Chris20,Def,3
Michael7,na,8,Ryan18,na,5
Jeffrey1,Off,7,John4,Off,4
Alex2,Off,3,Tom11,na,3
Khoman 6,Def,6,Frank8,Off,9
Max14,Off,5,Jose15,Def,8
Score,,2,,,0
,,,,,
Game ID: ,284,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Chris20,Def,3
Michael7,na,8,Ryan18,na,5
Jeffrey1,Off,7,John4,Off,4
Alex2,Off,3,Tom11,na,3
Khoman 6,Def,6,Frank8,Off,9
Max14,Off,5,Jose15,Def,8
Score,,1,,,0
,,,,,
Game ID: ,285,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Marcus17,Def,4
Frank8,Off,9,Sherman12,Def,5
Jose15,Def,8,Ryan18,na,5
Joeseph9,Def,7,Alex2,Off,3
Jeffrey1,Off,7,Jessica10,Off,7
Score,,4,,,0
,,,,,
Game ID: ,286,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Marcus17,Def,4
Frank8,Off,9,Sherman12,Def,5
Jose15,Def,8,Ryan18,na,5
Joeseph9,Def,7,Alex2,Off,3
Jeffrey1,Off,7,Jessica10,Off,7
Score,,4,,,0
,,,,,
Game ID: ,287,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Frank8,Off,9,Karen13,Def,7
Marcus17,Def,4,Martin16,Off,6
Khoman 6,Def,6,Danny19,na,9
Jeffrey1,Off,7,Sherman12,Def,5
Tom11,na,3,,,
Score,,1,,,0
,,,,,
Game ID: ,288,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Max14,Off,5
Frank8,Off,9,Karen13,Def,7
Marcus17,Def,4,Martin16,Off,6
Khoman 6,Def,6,Danny19,na,9
Jeffrey1,Off,7,Sherman12,Def,5
Tom11,na,3,,,
Score,,1,,,0
,,,,,
Game ID: ,289,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Alex2,Off,3
Chris20,Def,3,Ryan18,na,5
Marcus17,Def,4,Danny19,na,9
Max14,Off,5,Sherman12,Def,5
Jeffrey1,Off,7,Jessica10,Off,7
Score,,0,,,3
,,,,,
Game ID: ,290,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Alex2,Off,3
Chris20,Def,3,Ryan18,na,5
Marcus17,Def,4,Danny19,na,9
Max14,Off,5,Sherman12,Def,5
Jeffrey1,Off,7,Jessica10,Off,7
Score,,0,,,1
,,,,,
Game ID: ,291,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Chris20,Def,3
Khoman 6,Def,6,John4,Off,4
Frank8,Off,9,Sherman12,Def,5
Marcus17,Def,4,Jose15,Def,8
Michael7,na,8,,,
Score,,6,,,0
,,,,,
Game ID: ,292,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Chris20,Def,3
Khoman 6,Def,6,John4,Off,4
Frank8,Off,9,Sherman12,Def,5
Marcus17,Def,4,Jose15,Def,8
Michael7,na,8,,,
Score,,6,,,0
,,,,,
Game ID: ,293,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Khoman 6,Def,6
Alex2,Off,3,Ryan18,na,5
Martin16,Off,6,Max14,Off,5
Vivien3,Off,8,Jose15,Def,8
Michael7,na,8,Tom11,na,3
Joeseph9,Def,7,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,294,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Khoman 6,Def,6
Alex2,Off,3,Ryan18,na,5
Martin16,Off,6,Max14,Off,5
Vivien3,Off,8,Jose15,Def,8
Michael7,na,8,Tom11,na,3
Joeseph9,Def,7,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,295,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Martin16,Off,6
Frank8,Off,9,Danny19,na,9
Michael7,na,8,Jessica10,Off,7
Marcus17,Def,4,Jonathan5,Def,9
Score,,0,,,3
,,,,,
Game ID: ,296,,,,
player id,position,Rating,player id,position,Rating
Max14,Off,5,Martin16,Off,6
Frank8,Off,9,Danny19,na,9
Michael7,na,8,Jessica10,Off,7
Marcus17,Def,4,Jonathan5,Def,9
Score,,0,,,3
,,,,,
Game ID: ,297,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Danny19,na,9
Jeffrey1,Off,7,Jonathan5,Def,9
Ryan18,na,5,Alex2,Off,3
Chris20,Def,3,Khoman 6,Def,6
Marcus17,Def,4,Frank8,Off,9
Score,,0,,,6
,,,,,
Game ID: ,298,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Danny19,na,9
Jeffrey1,Off,7,Jonathan5,Def,9
Ryan18,na,5,Alex2,Off,3
Chris20,Def,3,Khoman 6,Def,6
Marcus17,Def,4,Frank8,Off,9
Score,,0,,,6
,,,,,
Game ID: ,299,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Marcus17,Def,4
Chris20,Def,3,Martin16,Off,6
Max14,Off,5,Frank8,Off,9
Jonathan5,Def,9,Tom11,na,3
Joeseph9,Def,7,Danny19,na,9
Score,,1,,,0
,,,,,
Game ID: ,300,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Marcus17,Def,4
Chris20,Def,3,Martin16,Off,6
Max14,Off,5,Frank8,Off,9
Jonathan5,Def,9,Tom11,na,3
Joeseph9,Def,7,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,301,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Marcus17,Def,4
Jeffrey1,Off,7,Joeseph9,Def,7
Sherman12,Def,5,Jessica10,Off,7
Michael7,na,8,Alex2,Off,3
Score,,3,,,0
,,,,,
Game ID: ,302,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Marcus17,Def,4
Jeffrey1,Off,7,Joeseph9,Def,7
Sherman12,Def,5,Jessica10,Off,7
Michael7,na,8,Alex2,Off,3
Score,,3,,,0
,,,,,
Game ID: ,303,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Joeseph9,Def,7,Chris20,Def,3
Max14,Off,5,Sherman12,Def,5
Karen13,Def,7,Jessica10,Off,7
Frank8,Off,9,Michael7,na,8
Jeffrey1,Off,7,,,
Score,,4,,,0
,,,,,
Game ID: ,304,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Joeseph9,Def,7,Chris20,Def,3
Max14,Off,5,Sherman12,Def,5
Karen13,Def,7,Jessica10,Off,7
Frank8,Off,9,Michael7,na,8
Jeffrey1,Off,7,,,
Score,,3,,,0
,,,,,
Game ID: ,305,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Karen13,Def,7
Jonathan5,Def,9,Tom11,na,3
Danny19,na,9,Ryan18,na,5
Alex2,Off,3,Vivien3,Off,8
Sherman12,Def,5,Jeffrey1,Off,7
Martin16,Off,6,Khoman 6,Def,6
John4,Off,4,Michael7,na,8
Marcus17,Def,4,,,
Score,,0,,,0
,,,,,
Game ID: ,306,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Karen13,Def,7
Jonathan5,Def,9,Tom11,na,3
Danny19,na,9,Ryan18,na,5
Alex2,Off,3,Vivien3,Off,8
Sherman12,Def,5,Jeffrey1,Off,7
Martin16,Off,6,Khoman 6,Def,6
John4,Off,4,Michael7,na,8
Marcus17,Def,4,,,
Score,,0,,,0
,,,,,
Game ID: ,307,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Marcus17,Def,4
Sherman12,Def,5,Vivien3,Off,8
Khoman 6,Def,6,Martin16,Off,6
Alex2,Off,3,Karen13,Def,7
Jessica10,Off,7,Jeffrey1,Off,7
Michael7,na,8,Tom11,na,3
Danny19,na,9,,,
Score,,2,,,0
,,,,,
Game ID: ,308,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Marcus17,Def,4
Sherman12,Def,5,Vivien3,Off,8
Khoman 6,Def,6,Martin16,Off,6
Alex2,Off,3,Karen13,Def,7
Jessica10,Off,7,Jeffrey1,Off,7
Michael7,na,8,Tom11,na,3
Danny19,na,9,,,
Score,,2,,,0
,,,,,
Game ID: ,309,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Karen13,Def,7
Jose15,Def,8,John4,Off,4
Joeseph9,Def,7,Chris20,Def,3
Max14,Off,5,Tom11,na,3
Martin16,Off,6,Danny19,na,9
Jeffrey1,Off,7,Alex2,Off,3
Ryan18,na,5,Frank8,Off,9
Sherman12,Def,5,,,
Score,,1,,,0
,,,,,
Game ID: ,310,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Karen13,Def,7
Jose15,Def,8,John4,Off,4
Joeseph9,Def,7,Chris20,Def,3
Max14,Off,5,Tom11,na,3
Martin16,Off,6,Danny19,na,9
Jeffrey1,Off,7,Alex2,Off,3
Ryan18,na,5,Frank8,Off,9
Sherman12,Def,5,,,
Score,,3,,,0
,,,,,
Game ID: ,311,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,John4,Off,4
Vivien3,Off,8,Danny19,na,9
Karen13,Def,7,Chris20,Def,3
Max14,Off,5,Jeffrey1,Off,7
Jessica10,Off,7,Ryan18,na,5
Score,,0,,,0
,,,,,
Game ID: ,312,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,John4,Off,4
Vivien3,Off,8,Danny19,na,9
Karen13,Def,7,Chris20,Def,3
Max14,Off,5,Jeffrey1,Off,7
Jessica10,Off,7,Ryan18,na,5
Score,,1,,,0
,,,,,
Game ID: ,313,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Sherman12,Def,5
Khoman 6,Def,6,Ryan18,na,5
Jessica10,Off,7,Chris20,Def,3
Jeffrey1,Off,7,Jonathan5,Def,9
Jose15,Def,8,Vivien3,Off,8
Martin16,Off,6,,,
Score,,3,,,0
,,,,,
Game ID: ,314,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Sherman12,Def,5
Khoman 6,Def,6,Ryan18,na,5
Jessica10,Off,7,Chris20,Def,3
Jeffrey1,Off,7,Jonathan5,Def,9
Jose15,Def,8,Vivien3,Off,8
Martin16,Off,6,,,
Score,,4,,,0
,,,,,
Game ID: ,315,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Joeseph9,Def,7
Vivien3,Off,8,Jonathan5,Def,9
Tom11,na,3,John4,Off,4
Jose15,Def,8,Frank8,Off,9
Score,,0,,,4
,,,,,
Game ID: ,316,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Joeseph9,Def,7
Vivien3,Off,8,Jonathan5,Def,9
Tom11,na,3,John4,Off,4
Jose15,Def,8,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,317,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Jeffrey1,Off,7
Ryan18,na,5,John4,Off,4
Jose15,Def,8,Tom11,na,3
Chris20,Def,3,Danny19,na,9
Frank8,Off,9,Karen13,Def,7
Khoman 6,Def,6,Joeseph9,Def,7
Martin16,Off,6,Jonathan5,Def,9
Michael7,na,8,Max14,Off,5
Score,,0,,,2
,,,,,
Game ID: ,318,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Jeffrey1,Off,7
Ryan18,na,5,John4,Off,4
Jose15,Def,8,Tom11,na,3
Chris20,Def,3,Danny19,na,9
Frank8,Off,9,Karen13,Def,7
Khoman 6,Def,6,Joeseph9,Def,7
Martin16,Off,6,Jonathan5,Def,9
Michael7,na,8,Max14,Off,5
Score,,0,,,1
,,,,,
Game ID: ,319,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Jessica10,Off,7
Jose15,Def,8,Karen13,Def,7
Jonathan5,Def,9,Chris20,Def,3
Vivien3,Off,8,Khoman 6,Def,6
Marcus17,Def,4,John4,Off,4
Max14,Off,5,Tom11,na,3
Score,,0,,,0
,,,,,
Game ID: ,320,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Jessica10,Off,7
Jose15,Def,8,Karen13,Def,7
Jonathan5,Def,9,Chris20,Def,3
Vivien3,Off,8,Khoman 6,Def,6
Marcus17,Def,4,John4,Off,4
Max14,Off,5,Tom11,na,3
Score,,2,,,0
,,,,,
Game ID: ,321,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Ryan18,na,5
Khoman 6,Def,6,Jonathan5,Def,9
Tom11,na,3,John4,Off,4
Alex2,Off,3,Michael7,na,8
Max14,Off,5,Martin16,Off,6
Score,,0,,,3
,,,,,
Game ID: ,322,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Ryan18,na,5
Khoman 6,Def,6,Jonathan5,Def,9
Tom11,na,3,John4,Off,4
Alex2,Off,3,Michael7,na,8
Max14,Off,5,Martin16,Off,6
Score,,0,,,4
,,,,,
Game ID: ,323,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Danny19,na,9
Alex2,Off,3,Khoman 6,Def,6
Ryan18,na,5,Jeffrey1,Off,7
Jonathan5,Def,9,John4,Off,4
Score,,0,,,3
,,,,,
Game ID: ,324,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Danny19,na,9
Alex2,Off,3,Khoman 6,Def,6
Ryan18,na,5,Jeffrey1,Off,7
Jonathan5,Def,9,John4,Off,4
Score,,0,,,3
,,,,,
Game ID: ,325,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Chris20,Def,3
John4,Off,4,Khoman 6,Def,6
Jose15,Def,8,Jeffrey1,Off,7
Karen13,Def,7,Danny19,na,9
Score,,1,,,0
,,,,,
Game ID: ,326,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Chris20,Def,3
John4,Off,4,Khoman 6,Def,6
Jose15,Def,8,Jeffrey1,Off,7
Karen13,Def,7,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,327,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Danny19,na,9
Joeseph9,Def,7,Khoman 6,Def,6
Martin16,Off,6,Vivien3,Off,8
Michael7,na,8,Alex2,Off,3
Jose15,Def,8,Max14,Off,5
Tom11,na,3,,,
Score,,3,,,0
,,,,,
Game ID: ,328,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Danny19,na,9
Joeseph9,Def,7,Khoman 6,Def,6
Martin16,Off,6,Vivien3,Off,8
Michael7,na,8,Alex2,Off,3
Jose15,Def,8,Max14,Off,5
Tom11,na,3,,,
Score,,3,,,0
,,,,,
Game ID: ,329,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Marcus17,Def,4
Jessica10,Off,7,Joeseph9,Def,7
Tom11,na,3,Max14,Off,5
Michael7,na,8,Karen13,Def,7
Frank8,Off,9,Jeffrey1,Off,7
Danny19,na,9,John4,Off,4
Khoman 6,Def,6,Vivien3,Off,8
Score,,3,,,0
,,,,,
Game ID: ,330,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Marcus17,Def,4
Jessica10,Off,7,Joeseph9,Def,7
Tom11,na,3,Max14,Off,5
Michael7,na,8,Karen13,Def,7
Frank8,Off,9,Jeffrey1,Off,7
Danny19,na,9,John4,Off,4
Khoman 6,Def,6,Vivien3,Off,8
Score,,1,,,0
,,,,,
Game ID: ,331,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Martin16,Off,6
Max14,Off,5,John4,Off,4
Chris20,Def,3,Danny19,na,9
Khoman 6,Def,6,Marcus17,Def,4
Alex2,Off,3,Jonathan5,Def,9
Score,,0,,,3
,,,,,
Game ID: ,332,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Martin16,Off,6
Max14,Off,5,John4,Off,4
Chris20,Def,3,Danny19,na,9
Khoman 6,Def,6,Marcus17,Def,4
Alex2,Off,3,Jonathan5,Def,9
Score,,0,,,3
,,,,,
Game ID: ,333,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Khoman 6,Def,6
Sherman12,Def,5,Vivien3,Off,8
Alex2,Off,3,John4,Off,4
Tom11,na,3,Joeseph9,Def,7
Jonathan5,Def,9,Karen13,Def,7
Max14,Off,5,Martin16,Off,6
Score,,0,,,3
,,,,,
Game ID: ,334,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Khoman 6,Def,6
Sherman12,Def,5,Vivien3,Off,8
Alex2,Off,3,John4,Off,4
Tom11,na,3,Joeseph9,Def,7
Jonathan5,Def,9,Karen13,Def,7
Max14,Off,5,Martin16,Off,6
Score,,0,,,1
,,,,,
Game ID: ,335,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Karen13,Def,7
Max14,Off,5,Danny19,na,9
Marcus17,Def,4,Tom11,na,3
Khoman 6,Def,6,Michael7,na,8
Jonathan5,Def,9,Jose15,Def,8
Ryan18,na,5,Jeffrey1,Off,7
Alex2,Off,3,Sherman12,Def,5
Vivien3,Off,8,Frank8,Off,9
Score,,0,,,4
,,,,,
Game ID: ,336,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Karen13,Def,7
Max14,Off,5,Danny19,na,9
Marcus17,Def,4,Tom11,na,3
Khoman 6,Def,6,Michael7,na,8
Jonathan5,Def,9,Jose15,Def,8
Ryan18,na,5,Jeffrey1,Off,7
Alex2,Off,3,Sherman12,Def,5
Vivien3,Off,8,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,337,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,John4,Off,4
Ryan18,na,5,Karen13,Def,7
Vivien3,Off,8,Jonathan5,Def,9
Danny19,na,9,Joeseph9,Def,7
Jose15,Def,8,Jessica10,Off,7
Score,,2,,,0
,,,,,
Game ID: ,338,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,John4,Off,4
Ryan18,na,5,Karen13,Def,7
Vivien3,Off,8,Jonathan5,Def,9
Danny19,na,9,Joeseph9,Def,7
Jose15,Def,8,Jessica10,Off,7
Score,,1,,,0
,,,,,
Game ID: ,339,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jessica10,Off,7
Joeseph9,Def,7,Karen13,Def,7
Danny19,na,9,Sherman12,Def,5
Jose15,Def,8,Tom11,na,3
Max14,Off,5,Michael7,na,8
Jeffrey1,Off,7,Vivien3,Off,8
Ryan18,na,5,Khoman 6,Def,6
Jonathan5,Def,9,,,
Score,,4,,,0
,,,,,
Game ID: ,340,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jessica10,Off,7
Joeseph9,Def,7,Karen13,Def,7
Danny19,na,9,Sherman12,Def,5
Jose15,Def,8,Tom11,na,3
Max14,Off,5,Michael7,na,8
Jeffrey1,Off,7,Vivien3,Off,8
Ryan18,na,5,Khoman 6,Def,6
Jonathan5,Def,9,,,
Score,,4,,,0
,,,,,
Game ID: ,341,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Max14,Off,5,Vivien3,Off,8
Michael7,na,8,Danny19,na,9
Chris20,Def,3,Martin16,Off,6
Khoman 6,Def,6,Marcus17,Def,4
John4,Off,4,Frank8,Off,9
Jessica10,Off,7,Sherman12,Def,5
Score,,0,,,1
,,,,,
Game ID: ,342,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Max14,Off,5,Vivien3,Off,8
Michael7,na,8,Danny19,na,9
Chris20,Def,3,Martin16,Off,6
Khoman 6,Def,6,Marcus17,Def,4
John4,Off,4,Frank8,Off,9
Jessica10,Off,7,Sherman12,Def,5
Score,,0,,,3
,,,,,
Game ID: ,343,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Ryan18,na,5
Chris20,Def,3,Michael7,na,8
Sherman12,Def,5,Khoman 6,Def,6
Martin16,Off,6,John4,Off,4
Jessica10,Off,7,,,
Score,,1,,,0
,,,,,
Game ID: ,344,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Ryan18,na,5
Chris20,Def,3,Michael7,na,8
Sherman12,Def,5,Khoman 6,Def,6
Martin16,Off,6,John4,Off,4
Jessica10,Off,7,,,
Score,,0,,,0
,,,,,
Game ID: ,345,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jonathan5,Def,9
Frank8,Off,9,Marcus17,Def,4
Danny19,na,9,Jeffrey1,Off,7
Michael7,na,8,Martin16,Off,6
Ryan18,na,5,Chris20,Def,3
Score,,2,,,0
,,,,,
Game ID: ,346,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jonathan5,Def,9
Frank8,Off,9,Marcus17,Def,4
Danny19,na,9,Jeffrey1,Off,7
Michael7,na,8,Martin16,Off,6
Ryan18,na,5,Chris20,Def,3
Score,,3,,,0
,,,,,
Game ID: ,347,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Ryan18,na,5
Chris20,Def,3,Tom11,na,3
Sherman12,Def,5,Frank8,Off,9
Alex2,Off,3,Max14,Off,5
Jonathan5,Def,9,Jose15,Def,8
Michael7,na,8,Martin16,Off,6
Vivien3,Off,8,Marcus17,Def,4
Jeffrey1,Off,7,Joeseph9,Def,7
Score,,2,,,0
,,,,,
Game ID: ,348,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Ryan18,na,5
Chris20,Def,3,Tom11,na,3
Sherman12,Def,5,Frank8,Off,9
Alex2,Off,3,Max14,Off,5
Jonathan5,Def,9,Jose15,Def,8
Michael7,na,8,Martin16,Off,6
Vivien3,Off,8,Marcus17,Def,4
Jeffrey1,Off,7,Joeseph9,Def,7
Score,,1,,,0
,,,,,
Game ID: ,349,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Joeseph9,Def,7
Marcus17,Def,4,Alex2,Off,3
Jeffrey1,Off,7,Karen13,Def,7
Tom11,na,3,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,350,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Joeseph9,Def,7
Marcus17,Def,4,Alex2,Off,3
Jeffrey1,Off,7,Karen13,Def,7
Tom11,na,3,Frank8,Off,9
Score,,0,,,3
,,,,,
Game ID: ,351,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Joeseph9,Def,7
Max14,Off,5,Frank8,Off,9
Tom11,na,3,Danny19,na,9
Khoman 6,Def,6,Martin16,Off,6
Alex2,Off,3,Jonathan5,Def,9
Ryan18,na,5,Jessica10,Off,7
Michael7,na,8,Chris20,Def,3
Karen13,Def,7,Jose15,Def,8
Score,,0,,,4
,,,,,
Game ID: ,352,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Joeseph9,Def,7
Max14,Off,5,Frank8,Off,9
Tom11,na,3,Danny19,na,9
Khoman 6,Def,6,Martin16,Off,6
Alex2,Off,3,Jonathan5,Def,9
Ryan18,na,5,Jessica10,Off,7
Michael7,na,8,Chris20,Def,3
Karen13,Def,7,Jose15,Def,8
Score,,0,,,4
,,,,,
Game ID: ,353,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jessica10,Off,7
Karen13,Def,7,Alex2,Off,3
Jeffrey1,Off,7,Michael7,na,8
Frank8,Off,9,Khoman 6,Def,6
Jose15,Def,8,Max14,Off,5
Sherman12,Def,5,Jonathan5,Def,9
Marcus17,Def,4,Tom11,na,3
Ryan18,na,5,,,
Score,,4,,,0
,,,,,
Game ID: ,354,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jessica10,Off,7
Karen13,Def,7,Alex2,Off,3
Jeffrey1,Off,7,Michael7,na,8
Frank8,Off,9,Khoman 6,Def,6
Jose15,Def,8,Max14,Off,5
Sherman12,Def,5,Jonathan5,Def,9
Marcus17,Def,4,Tom11,na,3
Ryan18,na,5,,,
Score,,3,,,0
,,,,,
Game ID: ,355,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Ryan18,na,5
Jessica10,Off,7,Alex2,Off,3
Danny19,na,9,Khoman 6,Def,6
Max14,Off,5,Jose15,Def,8
Karen13,Def,7,Tom11,na,3
Score,,2,,,0
,,,,,
Game ID: ,356,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Ryan18,na,5
Jessica10,Off,7,Alex2,Off,3
Danny19,na,9,Khoman 6,Def,6
Max14,Off,5,Jose15,Def,8
Karen13,Def,7,Tom11,na,3
Score,,4,,,0
,,,,,
Game ID: ,357,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jose15,Def,8
Michael7,na,8,Max14,Off,5
Vivien3,Off,8,Tom11,na,3
Alex2,Off,3,Danny19,na,9
Jessica10,Off,7,Joeseph9,Def,7
Karen13,Def,7,Martin16,Off,6
Marcus17,Def,4,Jeffrey1,Off,7
Sherman12,Def,5,Jonathan5,Def,9
Score,,0,,,1
,,,,,
Game ID: ,358,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jose15,Def,8
Michael7,na,8,Max14,Off,5
Vivien3,Off,8,Tom11,na,3
Alex2,Off,3,Danny19,na,9
Jessica10,Off,7,Joeseph9,Def,7
Karen13,Def,7,Martin16,Off,6
Marcus17,Def,4,Jeffrey1,Off,7
Sherman12,Def,5,Jonathan5,Def,9
Score,,0,,,2
,,,,,
Game ID: ,359,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Jose15,Def,8
Michael7,na,8,Vivien3,Off,8
Khoman 6,Def,6,Sherman12,Def,5
Jeffrey1,Off,7,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,360,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Jose15,Def,8
Michael7,na,8,Vivien3,Off,8
Khoman 6,Def,6,Sherman12,Def,5
